fips,total_workers,outdoor_workers,percentage
16013,64834,10823,0.16693401610266217
16015,8268,1004,0.12143202709240446
16017,74109,8726,0.11774548300476326
16019,276053,20785,0.07529351247767639
16021,18852,2001,0.10614258434118395
16023,43267,212,0.0048998081678877665
16025,1684,218,0.12945368171021376
16027,375732,63044,0.16778980762884182
16029,17386,5240,0.30139192453698377
16031,58918,13484,0.22886045011711192
16033,1650,297,0.18
16035,13275,801,0.06033898305084746
16037,7578,1024,0.13512800211137505
16039,36011,4962,0.13779123045736025
16041,18704,1919,0.102598374679213
16043,16030,2098,0.1308796007485964
16045,20091,1960,0.09755611965556717
16047,31083,1897,0.06103014509538976
16049,22240,3755,0.16883992805755396
16051,36597,8575,0.23430882312757875
16053,53632,17038,0.3176834725536993
16055,324599,36596,0.11274218343248131
16057,68350,3139,0.04592538405267008
16059,12869,1547,0.1202113606340819
16061,8152,508,0.06231599607458292
16063,8377,2971,0.35466157335561654
16065,81256,4466,0.05496209510682288
16067,41531,2691,0.06479497243023284
16069,104291,6398,0.061347575533842805
16071,6634,202,0.030449201085318057
16073,16199,3319,0.20488919069078337
16075,32824,4028,0.12271508652205704
16077,17327,3454,0.1993420672938189
16079,23433,3838,0.16378611360047796
16081,18783,2832,0.15077463663951446
16083,199798,12547,0.06279842641067478
16085,24466,2532,0.10349055832583993
16087,14179,1083,0.07638056280414698
16999,77638,3029,0.03901440016486772
17001,160502,9525,0.05934505489028174
17003,4731,336,0.07102092580849714
17005,21842,2672,0.12233311967768519
17007,81793,7187,0.08786815497658723
17009,22040,854,0.03874773139745916
17011,56329,2758,0.04896234621598111
17013,3623,272,0.07507590394700524
17015,20164,3020,0.14977187066058323
17017,26813,782,0.029164957296833625
17019,454477,23448,0.05159336996151621
17021,47591,2614,0.05492635162110483
17023,22141,2240,0.10116977552956054
17025,24508,1610,0.06569283499265546
17027,60298,9393,0.15577631098875586
17029,115132,5741,0.04986450335267345
17031,12532978,743213,0.059300590809303264
17033,34670,2751,0.07934813960196135
17035,13988,305,0.021804403774663996
17037,180384,13164,0.07297764768493879
17039,24411,2103,0.0861496866166892
17041,37139,2397,0.06454131775222811
17043,2996473,212870,0.07104018624562944
17045,35153,2174,0.06184393935083777
17047,10647,287,0.02695595003287311
17049,111674,7910,0.07083116929634471
17051,26953,2198,0.081549363707194
17053,23940,1454,0.06073517126148705
17055,43481,4525,0.10406844368804766
17057,40564,3057,0.07536239029681491
17059,4959,486,0.09800362976406533
17061,11621,909,0.07822046295499527
17063,102803,13646,0.13273931694600352
17065,9762,599,0.06136037697193198
